Step Nr.;Time[fs];Kin.[a.u.];Temp[K];Pot.[a.u.];Cons Qty[a.u.];UsedTime[s]
210.0;105.0;0.001806126;63.369874611;-23.506650339;-23.505513339;41.9196356
211.0;105.5;0.002003162;70.283072028;-23.506862106;-23.505517041;35.669605735
212.0;106.0;0.002121747;74.443773876;-23.506971176;-23.50551726;35.844200235
213.0;106.5;0.002154594;75.596242997;-23.506963354;-23.505513706;36.308717805
214.0;107.0;0.002072622;72.720163605;-23.506884306;-23.505507475;36.271115225
215.0;107.5;0.002035286;71.410175443;-23.506823263;-23.50550109;35.498661216
216.0;108.0;0.002068128;72.562491531;-23.506870562;-23.50549759;35.794861228
217.0;108.5;0.002267537;79.558959004;-23.507069453;-23.505499163;42.017928155
218.0;109.0;0.002602644;91.316543197;-23.507385212;-23.505505618;36.080481333
219.0;109.5;0.002890649;101.421510369;-23.507709041;-23.505514151;35.55980009
220.0;110.0;0.003088855;108.375778673;-23.507904804;-23.505520534;41.903686219
221.0;110.5;0.003048272;106.951886935;-23.507871415;-23.505521541;35.762135271
222.0;111.0;0.0027874;97.798925612;-23.507595935;-23.505516492;35.412270022
223.0;111.5;0.002324471;81.556567992;-23.507168733;-23.505508054;35.755791092
224.0;112.0;0.001904302;66.814473214;-23.506738645;-23.505500547;36.064615009
225.0;112.5;0.001627878;57.115828977;-23.506449188;-23.50549799;40.987708985
226.0;113.0;0.001524633;53.49337736;-23.506371163;-23.505501777;36.310240301
227.0;113.5;0.001623015;56.94523841;-23.50648509;-23.505510404;35.404003066
228.0;114.0;0.001789426;62.783919946;-23.50669987;-23.505520702;35.579693845
229.0;114.5;0.001984254;69.619685417;-23.506901015;-23.505529406;35.756093276
230.0;115.0;0.002023942;71.012176826;-23.507002632;-23.505534382;41.587889966
231.0;115.5;0.001972256;69.198714753;-23.506976861;-23.505534885;36.445070177
232.0;116.0;0.001844606;64.719964105;-23.506860954;-23.50553174;35.829469392
233.0;116.5;0.001707007;59.892167497;-23.506743241;-23.505527176;35.491969497
234.0;117.0;0.001705522;59.84005136;-23.506723639;-23.505524174;41.520681901
235.0;117.5;0.001834845;64.377519393;-23.506868512;-23.505525274;35.875430886
236.0;118.0;0.002135369;74.921717016;-23.507173099;-23.505531082;36.302872862
237.0;118.5;0.002496651;87.5976698;-23.507551182;-23.505539616;35.765180977
238.0;119.0;0.002816536;98.821183885;-23.507868067;-23.505547331;36.418407291
239.0;119.5;0.002964513;104.013101588;-23.507997569;-23.50555059;35.975403836
240.0;120.0;0.002833558;99.418403412;-23.507880234;-23.505547703;41.300985466
241.0;120.5;0.002511191;88.1078435;-23.507556645;-23.505539878;35.733483794
242.0;121.0;0.002124215;74.530377243;-23.507139852;-23.505530714;35.818014167
243.0;121.5;0.001729311;60.674744296;-23.506770729;-23.505524201;41.219478938
244.0;122.0;0.001501655;52.687177783;-23.50655026;-23.505522646;35.522098535
245.0;122.5;0.001469335;51.55319477;-23.506504409;-23.505525728;35.331270141
246.0;123.0;0.001513855;53.11521643;-23.506585104;-23.505531238;35.226225904
247.0;123.5;0.001696691;59.530213423;-23.506704487;-23.50553637;35.287906221
248.0;124.0;0.001767133;62.001753577;-23.506777648;-23.505538879;36.012604252
249.0;124.5;0.001751076;61.438377605;-23.506754441;-23.505537631;35.785892366
250.0;125.0;0.00163821;57.478351677;-23.506644762;-23.505532809;41.904742998
251.0;125.5;0.001495069;52.456092545;-23.50650991;-23.505525794;35.693971707
